Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Basal cell carcinoma,0.24668223273816786,1.352548207683714,0.08791208791208792,0.14378125479829834,63,47,TP53;WNT2;WNT11;GADD45A;CTNNB1;FZD5;TCF7;BMP2;WNT1;WNT5A;FZD8;AXIN1;AXIN2;WNT9A;DVL1;DVL3;BAX;GSK3B;CDKN1A;TCF7L2;GADD45B;LEF1;GLI1;SUFU;SHH;FZD7;BAK1;FZD10;DDB2;FZD2;WNT10B;BMP4;WNT3;WNT9B;FZD9;FZD4;TCF7L1;FZD6;APC;FZD1;SMO;WNT7A;PTCH1;DVL2;GLI3;FZD3;WNT7B,TP53;WNT2;WNT11;GADD45A;CTNNB1;FZD5;TCF7;BMP2;WNT1;WNT5A;FZD8;AXIN1;AXIN2;WNT9A;DVL1;DVL3;BAX;GSK3B;CDKN1A;TCF7L2;GADD45B;LEF1;GLI1;SUFU;SHH;FZD7;BAK1;FZD10;DDB2;FZD2;WNT10B;BMP4;WNT3;WNT9B;FZD9;FZD4;TCF7L1;FZD6;APC;FZD1;SMO
Nitrogen metabolism,0.3217943225757326,1.3385122502223354,0.1511627906976744,0.15387974410580793,17,16,CPS1;CA7;CA14;GLUL;CA6;CA3;GLUD1;CA1;CA12;CA2;GLUD2;CA4;CA9;CA8;CA5A;CA5B,CPS1;CA7;CA14;GLUL;CA6;CA3;GLUD1;CA1;CA12
Oocyte meiosis,0.2018492951872828,1.3359379289303612,0.11,0.15525151432989598,125,78,MAP2K1;MAPK1;PPP3CA;CALM2;ITPR1;MAPK12;SMC3;SMC1A;CALM1;CDK2;CCNB1;CDK1;PPP3R1;PRKACG;ADCY1;PPP1CA;RPS6KA1;FBXW11;PPP2R5E;RPS6KA3;PRKACB;PPP2R5B;YWHAZ;ADCY5;INS;SLK;ADCY9;FBXO5;MAPK3;PPP2CA;PTTG1;IGF1;ADCY7;CAMK2A;SKP1;AURKA;BTRC;PPP2R1A;CDC20;PRKACA;CDC25C;YWHAQ;ADCY2;CAMK2G;PPP2R5C;YWHAH;PPP3CC;PPP2R5A;CCNE1;ANAPC5;BUB1;CALM3;IGF1R;PLK1;ADCY3;PGR;PPP3R2;ITPR2;PPP3CB;MOS;RPS6KA6;ITPR3;PPP1CC;PKMYT1;AR;PPP2CB;CALML6;CAMK2D;ESPL1;CCNE2;CPEB4;CCNB2;RPS6KA2;RBX1;ADCY6;CUL1;CAMK2B;ANAPC2,MAP2K1;MAPK1;PPP3CA;CALM2;ITPR1;MAPK12;SMC3;SMC1A;CALM1;CDK2;CCNB1;CDK1;PPP3R1;PRKACG;ADCY1;PPP1CA;RPS6KA1;FBXW11;PPP2R5E;RPS6KA3;PRKACB;PPP2R5B;YWHAZ;ADCY5;INS;SLK;ADCY9;FBXO5;MAPK3;PPP2CA;PTTG1;IGF1;ADCY7;CAMK2A;SKP1;AURKA;BTRC;PPP2R1A;CDC20;PRKACA;CDC25C;YWHAQ;ADCY2;CAMK2G;PPP2R5C;YWHAH;PPP3CC;PPP2R5A;CCNE1;ANAPC5;BUB1;CALM3;IGF1R;PLK1;ADCY3;PGR;PPP3R2;ITPR2;PPP3CB;MOS
Terpenoid backbone biosynthesis,0.32680253136147375,1.3341151217307599,0.12087912087912088,0.1561775638327514,22,17,HMGCS1;PDSS2;FNTA;ZMPSTE24;ACAT1;IDI2;FDPS;HMGCR;DHDDS;ACAT2;FNTB;ICMT;MVK;GGPS1;IDI1;HMGCS2;PMVK,HMGCS1;PDSS2;FNTA;ZMPSTE24;ACAT1;IDI2;FDPS;HMGCR
Regulation of lipolysis in adipocytes,0.23122656154214702,1.3313929489704084,0.13829787234042554,0.15795284646348476,55,43,AKT1;PTGER3;GNAI3;MGLL;PRKACG;ADCY1;PIK3CA;PRKACB;ADRB3;ADCY5;PTGS1;INS;TSHR;ADCY9;PIK3CD;GNAS;PRKG1;ADCY7;PIK3R3;GNAI2;IRS1;GNAI1;PRKACA;PIK3R2;ADORA1;ADCY2;ADRB2;PIK3R1;PRKG2;PDE3B;PIK3CB;ADCY3;NPR1;AKT3;ADRB1;FABP4;CGA;PTGS2;AKT2;IRS2;INSR;NPY1R;ADCY6,AKT1;PTGER3;GNAI3;MGLL;PRKACG;ADCY1;PIK3CA;PRKACB;ADRB3;ADCY5;PTGS1;INS;TSHR;ADCY9;PIK3CD;GNAS;PRKG1;ADCY7;PIK3R3;GNAI2;IRS1;GNAI1;PRKACA;PIK3R2;ADORA1;ADCY2;ADRB2;PIK3R1;PRKG2;PDE3B;PIK3CB;ADCY3;NPR1;AKT3;ADRB1
Pathogenic Escherichia coli infection,0.2363642389093758,1.3120277174320234,0.1827956989247312,0.17530189764232318,55,44,CD14;ARPC1B;ITGB1;WASL;CTNNB1;RHOA;NCK1;CDC42;TUBB6;ARPC3;TUBB;CDH1;ACTB;YWHAZ;ABL1;FYN;ARHGEF2;TUBB2A;TLR4;TUBA1A;TUBA4A;TUBA8;HCLS1;TUBB4B;WAS;ROCK1;CLDN1;YWHAQ;TUBB1;PRKCA;CTTN;ARPC2;TUBA1C;ARPC4;ARPC1A;TLR5;ROCK2;TUBB4A;ARPC5;TUBA1B;TUBB3;TUBA3C;NCL;ACTG1,CD14;ARPC1B;ITGB1;WASL;CTNNB1;RHOA;NCK1;CDC42;TUBB6;ARPC3;TUBB;CDH1;ACTB;YWHAZ;ABL1;FYN;ARHGEF2;TUBB2A;TLR4;TUBA1A;TUBA4A;TUBA8;HCLS1;TUBB4B;WAS;ROCK1;CLDN1;YWHAQ;TUBB1;PRKCA;CTTN;ARPC2
Cytosolic DNA-sensing pathway,0.22658408433348193,1.3054763343498972,0.11235955056179775,0.1799797863627651,63,53,ADAR;IKBKE;POLR3B;TMEM173;NFKB1;IL33;POLR3H;CASP1;IFNA1;IFNA2;NFKBIB;RELA;POLR1C;POLR2F;IFNA21;NFKBIA;IL6;IRF7;CCL5;IFNA7;CXCL10;POLR3K;CCL4L2;IKBKG;POLR2H;IFNA16;IL18;CCL4;IFNA10;IRF3;POLR2E;TBK1;POLR3F;IFNB1;TREX1;PYCARD;DDX58;AIM2;IFNA8;ZBP1;CHUK;RIPK1;POLR3D;POLR3C;IFNA14;RIPK3;IFNA5;POLR3E;IFNA17;IKBKB;POLR2K;IFNA4;IL1B,ADAR;IKBKE;POLR3B;TMEM173;NFKB1;IL33;POLR3H;CASP1;IFNA1;IFNA2;NFKBIB;RELA;POLR1C;POLR2F;IFNA21;NFKBIA;IL6;IRF7;CCL5;IFNA7;CXCL10;POLR3K;CCL4L2;IKBKG;POLR2H;IFNA16;IL18;CCL4;IFNA10;IRF3;POLR2E;TBK1;POLR3F;IFNB1;TREX1;PYCARD;DDX58;AIM2;IFNA8;ZBP1;CHUK;RIPK1;POLR3D
GABAergic synapse,0.18955974213862992,1.3058399886602907,0.1326530612244898,0.18036213122075526,89,75,GNG4;GNB4;GLUL;ABAT;SRC;GNG5;PRKCB;PLCL1;NSF;GNAI3;SLC6A11;GABRR1;PRKACG;ADCY1;GNG7;GABRG3;SLC12A5;CACNA1S;PRKACB;GABRA1;CACNA1F;PRKCG;SLC38A1;GNB5;ADCY5;GNG12;GABRA4;ADCY9;CACNA1C;GABARAPL1;GNG11;ADCY7;GABRQ;GABRR2;SLC38A5;GNAI2;GABRA3;GABRD;SLC38A3;GNAI1;PRKACA;GABRA5;SLC32A1;GNB2;GABRG1;ADCY2;PRKCA;SLC6A1;GABRB1;GNGT2;GABRB2;ADCY3;SLC38A2;KCNJ6;GABRA2;GABRR3;CACNA1D;GABBR2;SLC6A13;GLS;CACNA1A;GNB1;GAD1;GABBR1;GABRE;GABRG2;GABRA6;TRAK2;GABRP;GAD2;GPHN;SLC6A12;GNG8;ADCY6;GABRB3,GNG4;GNB4;GLUL;ABAT;SRC;GNG5;PRKCB;PLCL1;NSF;GNAI3;SLC6A11;GABRR1;PRKACG;ADCY1;GNG7;GABRG3;SLC12A5;CACNA1S;PRKACB;GABRA1;CACNA1F;PRKCG;SLC38A1;GNB5;ADCY5;GNG12;GABRA4;ADCY9;CACNA1C;GABARAPL1;GNG11;ADCY7;GABRQ;GABRR2;SLC38A5;GNAI2;GABRA3;GABRD;SLC38A3;GNAI1;PRKACA;GABRA5;SLC32A1;GNB2;GABRG1;ADCY2
Pancreatic secretion,0.19761791463740627,1.300800775934296,0.16666666666666666,0.1845975131551952,98,65,KCNMA1;PLA2G2D;ATP1A3;RAB11A;ITPR1;CFTR;SLC9A1;RHOA;PRKCB;RAC1;PRSS2;CCKAR;ADCY1;ATP1A4;BST1;ATP1A1;PLCB3;PRKCG;ADCY5;PRSS1;ATP2A2;ADCY9;CELA2B;ATP1B2;ATP1B3;KCNQ1;ATP2A1;GNAS;PLA2G12B;PLA2G12A;ADCY7;PLA2G2E;PLA2G2A;CA2;PLCB1;SLC26A3;ADCY2;RYR2;ATP1B1;PRKCA;PLA2G1B;AMY2B;ATP1B4;ADCY3;ITPR2;CHRM3;PNLIP;ITPR3;PLA2G2C;AMY2A;CD38;CEL;SLC12A2;ATP2B1;PRSS3;CELA2A;FXYD2;CTRB1;GNAQ;RAP1A;TRPC1;PLCB4;ADCY6;SLC4A2;CTRL,KCNMA1;PLA2G2D;ATP1A3;RAB11A;ITPR1;CFTR;SLC9A1;RHOA;PRKCB;RAC1;PRSS2;CCKAR;ADCY1;ATP1A4;BST1;ATP1A1;PLCB3;PRKCG;ADCY5;PRSS1;ATP2A2;ADCY9;CELA2B;ATP1B2;ATP1B3;KCNQ1;ATP2A1;GNAS;PLA2G12B;PLA2G12A;ADCY7;PLA2G2E;PLA2G2A
Platelet activation,0.18971956932578599,1.2950287198353356,0.10101010101010101,0.18943070730304776,124,98,AKT1;MAPK1;TBXAS1;ITGB1;ITPR1;SRC;MAPK12;GP6;MAPK14;FGB;RHOA;MYLK4;GNAI3;PRKACG;ADCY1;PPP1CA;FGG;FCGR2A;MAPK13;COL1A2;PLA2G4A;PIK3CA;MAPK11;ACTB;PRKACB;PLCB3;ADCY5;FYN;PTGS1;ADCY9;MYLK2;P2RY12;JMJD7-PLA2G4B;SYK;PIK3CD;STIM1;GP1BA;LYN;ORAI1;ITGA2B;MAPK3;GNAS;ITGA2;PRKG1;ADCY7;PIK3R6;PIK3R3;GNAI2;PRKCI;PLCG2;PLCB1;F2R;PIK3CG;GNAI1;PRKACA;ROCK1;PIK3R2;PIK3R5;ARHGAP35;ADCY2;RASGRP1;BTK;P2RX1;PIK3R1;GP5;FGA;PRKG2;PIK3CB;GP9;MYLK;ADCY3;GUCY1A2;ITPR2;AKT3;GNA13;APBB1IP;ITPR3;PTGIR;FCER1G;RASGRP2;PRKCZ;PPP1CC;ROCK2;LCP2;FERMT3;MYLK3;F2;ITGB3;AKT2;GP1BB;ARHGEF12;TBXA2R;GNAQ;RAP1A;NOS3;ACTG1;PLCB4;ADCY6,AKT1;MAPK1;TBXAS1;ITGB1;ITPR1;SRC;MAPK12;GP6;MAPK14;FGB;RHOA;MYLK4;GNAI3;PRKACG;ADCY1;PPP1CA;FGG;FCGR2A;MAPK13;COL1A2;PLA2G4A;PIK3CA;MAPK11;ACTB;PRKACB;PLCB3;ADCY5;FYN;PTGS1;ADCY9;MYLK2;P2RY12;JMJD7-PLA2G4B;SYK;PIK3CD;STIM1;GP1BA;LYN;ORAI1;ITGA2B;MAPK3;GNAS;ITGA2;PRKG1;ADCY7;PIK3R6;PIK3R3;GNAI2;PRKCI;PLCG2;PLCB1;F2R;PIK3CG;GNAI1;PRKACA;ROCK1;PIK3R2;PIK3R5;ARHGAP35;ADCY2;RASGRP1;BTK;P2RX1;PIK3R1;GP5;FGA;PRKG2;PIK3CB;GP9;MYLK;ADCY3;GUCY1A2;ITPR2;AKT3;GNA13;APBB1IP;ITPR3;PTGIR;FCER1G;RASGRP2;PRKCZ;PPP1CC;ROCK2;LCP2;FERMT3
Protein digestion and absorption,0.22469001351496157,1.2920208276722676,0.1595744680851064,0.19149277779991913,90,46,COL7A1;ATP1A3;KCNE3;PRSS2;MME;KCNN4;COL1A2;ACE2;ATP1A4;ATP1A1;SLC7A9;PRSS1;SLC1A5;CELA2B;ATP1B2;SLC15A1;ATP1B3;COL18A1;SLC7A8;KCNQ1;COL4A4;COL4A3;COL4A2;KCNK5;ATP1B1;SLC1A1;SLC8A1;SLC16A10;SLC3A1;DPP4;SLC7A7;ATP1B4;ELN;SLC38A2;COL4A5;KCNJ13;PRSS3;CELA2A;MEP1B;FXYD2;CTRB1;SLC36A1;COL13A1;PRCP;SLC3A2;CTRL,COL7A1;ATP1A3;KCNE3;PRSS2;MME;KCNN4;COL1A2;ACE2;ATP1A4;ATP1A1;SLC7A9;PRSS1;SLC1A5;CELA2B;ATP1B2;SLC15A1;ATP1B3;COL18A1;SLC7A8;KCNQ1;COL4A4;COL4A3;COL4A2;KCNK5;ATP1B1;SLC1A1;SLC8A1;SLC16A10;SLC3A1;DPP4;SLC7A7;ATP1B4;ELN
Tryptophan metabolism,0.24454526824786116,1.2924877922080658,0.2087912087912088,0.19218513527818068,42,35,HADHA;HADH;GCDH;KMO;ALDH7A1;ACAT1;IDO2;ALDH3A2;CAT;AADAT;ACMSD;ALDH2;KYNU;ALDH9A1;DLD;ACAT2;CYP1A1;DDC;CYP1A2;AOX1;ECHS1;IL4I1;KYAT3;AOC1;IDO1;CYP1B1;ALDH1B1;EHHADH;DHTKD1;MAOA;KYAT1;MAOB;ASMT;TPH2;TPH1,HADHA;HADH;GCDH;KMO;ALDH7A1;ACAT1;IDO2;ALDH3A2;CAT;AADAT;ACMSD;ALDH2;KYNU;ALDH9A1;DLD;ACAT2;CYP1A1;DDC;CYP1A2;AOX1;ECHS1;IL4I1;KYAT3;AOC1;IDO1;CYP1B1;ALDH1B1;EHHADH;DHTKD1;MAOA
ECM-receptor interaction,0.22792918925316438,1.286649857256076,0.2,0.19534413356863833,82,45,ITGA6;ITGB1;ITGB4;ITGAV;ITGB5;GP6;SV2A;DAG1;ITGB8;ITGA1;SPP1;COL1A2;THBS3;LAMB2;CD47;ITGA3;GP1BA;SDC4;ITGA2B;ITGA2;FN1;COL4A4;RELN;COL4A3;TNC;ITGB7;COL4A2;HMMR;ITGA4;HSPG2;ITGA8;GP5;LAMB3;GP9;SDC1;CD36;COL4A5;LAMB1;CD44;ITGB3;SV2C;LAMA3;GP1BB;ITGA11;THBS1,ITGA6;ITGB1;ITGB4;ITGAV;ITGB5;GP6;SV2A;DAG1;ITGB8;ITGA1;SPP1;COL1A2;THBS3;LAMB2;CD47;ITGA3;GP1BA;SDC4;ITGA2B;ITGA2;FN1;COL4A4;RELN;COL4A3;TNC;ITGB7;COL4A2;HMMR;ITGA4;HSPG2;ITGA8;GP5;LAMB3;GP9;SDC1;CD36;COL4A5
Ether lipid metabolism,0.2692750959631606,1.277233476760451,0.16455696202531644,0.20403150334314288,47,21,PAFAH1B3;PLA2G2D;PLD2;PLD4;ENPP2;PLA2G4A;JMJD7-PLA2G4B;SELENOI;PLA2G12B;PLA2G12A;PLA2G2E;PLA2G2A;CEPT1;LPCAT1;PLA2G6;PLA2G1B;PLPP3;PLA2G2C;PAFAH1B2;PAFAH1B1;PLD1,PAFAH1B3;PLA2G2D;PLD2;PLD4;ENPP2;PLA2G4A;JMJD7-PLA2G4B;SELENOI;PLA2G12B;PLA2G12A;PLA2G2E;PLA2G2A;CEPT1;LPCAT1;PLA2G6;PLA2G1B;PLPP3
Vitamin digestion and absorption,0.3161954957590985,1.2746262679094114,0.12048192771084337,0.20620148950195655,24,16,APOA1;SLC5A6;SLC19A2;SCARB1;SLC19A3;SLC23A1;APOB;ABCC1;LRAT;CUBN;SLC19A1;TCN2;PNLIP;MMACHC;FOLH1;SLC46A1,APOA1;SLC5A6;SLC19A2;SCARB1;SLC19A3;SLC23A1
Arrhythmogenic right ventricular cardiomyopathy (ARVC),0.22040753397540563,1.269528768026587,0.16666666666666666,0.21033179430204837,72,47,ITGA6;ITGB1;ITGB4;ITGAV;ITGB5;CTNNB1;DAG1;ITGB8;TCF7;ITGA1;CACNA1S;ACTB;CACNA1F;GJA1;LMNA;ATP2A2;ITGA3;CACNA2D2;CACNG3;CACNA1C;ITGA2B;TCF7L2;ITGA2;LEF1;CACNB3;ITGB7;DSG2;RYR2;ITGA4;CACNG1;SLC8A1;ITGA8;DMD;TCF7L1;CACNG2;CACNB2;CACNA1D;EMD;SGCB;ITGB3;CACNB4;ITGA11;CACNB1;JUP;ACTG1;ACTN2;CTNNA1,ITGA6;ITGB1;ITGB4;ITGAV;ITGB5;CTNNB1;DAG1;ITGB8;TCF7;ITGA1;CACNA1S;ACTB;CACNA1F;GJA1;LMNA;ATP2A2;ITGA3;CACNA2D2;CACNG3;CACNA1C;ITGA2B;TCF7L2;ITGA2
Notch signaling pathway,0.2378288809630713,1.2655307871178407,0.2087912087912088,0.21376492125798324,48,36,HDAC2;HES1;DTX3;NOTCH1;ADAM17;KAT2A;CREBBP;EP300;HES5;APH1B;JAG1;DVL1;DVL3;MAML2;DLL4;PSEN1;PSEN2;CIR1;PSENEN;SNW1;KAT2B;NOTCH2;DTX3L;RFNG;RBPJ;NUMB;CTBP2;NCOR2;CTBP1;HDAC1;DLL1;DVL2;DTX1;DTX2;MAML1;DTX4,HDAC2;HES1;DTX3;NOTCH1;ADAM17;KAT2A;CREBBP;EP300;HES5;APH1B;JAG1;DVL1;DVL3;MAML2;DLL4;PSEN1;PSEN2;CIR1;PSENEN;SNW1;KAT2B;NOTCH2;DTX3L;RFNG;RBPJ;NUMB;CTBP2;NCOR2;CTBP1;HDAC1
Nicotinate and nicotinamide metabolism,0.27508525971868025,1.2598123285153826,0.2,0.21817136285221392,30,20,NMRK2;NNT;QPRT;NMRK1;NT5E;NADSYN1;NT5C2;BST1;NT5C3A;NAMPT;NADK;NADK2;PNP;AOX1;NMNAT3;NMNAT2;NNMT;ENPP1;CD38;ENPP3,NMRK2;NNT;QPRT;NMRK1;NT5E;NADSYN1;NT5C2;BST1;NT5C3A;NAMPT;NADK;NADK2;PNP;AOX1;NMNAT3;NMNAT2;NNMT;ENPP1
Propanoate metabolism,0.25585638254653625,1.2567592958237255,0.17045454545454544,0.22023216334526527,32,26,ACADM;HADHA;PCCB;ACACA;ABAT;SUCLG1;ACSS2;LDHAL6A;ACAT1;ACACB;DLD;ACAT2;LDHC;SUCLG2;BCKDHA;SUCLA2;ACSS1;ECHS1;LDHA;EHHADH;HIBCH;ALDH6A1;PCCA;MLYCD;LDHB;LDHAL6B,ACADM;HADHA;PCCB;ACACA;ABAT;SUCLG1;ACSS2;LDHAL6A;ACAT1;ACACB;DLD;ACAT2;LDHC;SUCLG2;BCKDHA;SUCLA2
Endocytosis,0.17473445536276355,1.2511855546892878,0.16161616161616163,0.2246156795092965,244,139,CHMP2B;TGFBR2;ARPC1B;EGFR;PLD2;RAB11A;PDGFRA;CYTH2;SMAD3;PML;FGFR2;GRK3;UBB;SRC;STAM;PIP5KL1;WASL;FGFR3;RHOA;ARF6;SNX6;CXCR4;STAMBP;CAV2;DNM1;CDC42;RAB4A;CBLB;RAB5A;IQSEC3;CLTB;ARF1;ARPC3;HSPA2;HSPA1A;KIF5A;CXCR1;GRK7;ASAP2;PIP5K1B;HSPA1B;EPN2;IL2RG;TSG101;PIP5K1A;RAB31;EHD1;CYTH1;ARFGEF2;SNX32;VPS45;TFRC;BIN1;HLA-A;CBLC;ASAP1;VPS37B;CCR5;RAB7A;SMAD2;SMURF1;TGFBR1;GRK4;DAB2;IL2RA;CBL;AP2A2;IGF2R;GRK6;IL2RB;PRKCI;ITCH;HSPA8;GBF1;ARFGEF1;RAB11FIP5;WAS;STAM2;FOLR1;RAB5B;HLA-B;ARFGAP1;RAB11FIP1;RAB11FIP2;KIF5B;ARPC2;HRAS;ACAP1;LDLR;CYTH4;FOLR3;SNX2;PIP5K1C;IGF1R;VPS35;SMURF2;CXCR2;WIPF1;ARPC4;CHMP2A;CHMP1A;MDM2;CAV3;ARPC1A;RUFY1;PRKCZ;VPS26A;CAV1;WIPF2;AP2A1;CHMP6;ARPC5;VPS28;AP2M1;ARRB1;GRK2;VPS4A;TRAF6;CHMP4A;PLD1;CLTC;FGFR4;SNF8;SH3GL1;GRK5;SH3GL2;WWP1;KIF5C;HGS;IQSEC1;ARAP1;GIT2;CLTA;NEDD4;GIT1;RAB11FIP3;NEDD4L;GRK1;DNAJC6,CHMP2B;TGFBR2;ARPC1B;EGFR;PLD2;RAB11A;PDGFRA;CYTH2;SMAD3;PML;FGFR2;GRK3;UBB;SRC;STAM;PIP5KL1;WASL;FGFR3;RHOA;ARF6;SNX6;CXCR4;STAMBP;CAV2;DNM1;CDC42;RAB4A;CBLB;RAB5A;IQSEC3;CLTB;ARF1;ARPC3;HSPA2;HSPA1A;KIF5A;CXCR1;GRK7;ASAP2;PIP5K1B;HSPA1B;EPN2;IL2RG;TSG101;PIP5K1A;RAB31;EHD1;CYTH1;ARFGEF2;SNX32;VPS45;TFRC;BIN1;HLA-A;CBLC;ASAP1;VPS37B;CCR5;RAB7A;SMAD2;SMURF1;TGFBR1;GRK4;DAB2;IL2RA;CBL;AP2A2;IGF2R;GRK6;IL2RB;PRKCI;ITCH;HSPA8;GBF1;ARFGEF1;RAB11FIP5;WAS
Oxidative phosphorylation,0.19396130148475993,1.2384992420291632,0.17894736842105263,0.23729059300300603,133,66,SDHA;SDHB;NDUFA1;NDUFS6;NDUFB3;ATP6V1C1;NDUFA4;TCIRG1;NDUFA9;NDUFA12;NDUFAB1;NDUFC1;UQCRC1;NDUFA8;ATP6V0B;NDUFA13;UQCRFS1;NDUFB7;NDUFC2;NDUFS5;NDUFB9;NDUFB10;NDUFV2;NDUFB6;COX8A;NDUFA3;NDUFS2;COX6B1;NDUFB2;NDUFB1;NDUFV1;COX4I1;NDUFA4L2;COX6B2;NDUFA5;COX5A;NDUFB5;NDUFS1;COX7B;ATP6V1A;ATP6V1D;SDHD;SDHC;NDUFA7;NDUFS7;NDUFA2;COX5B;NDUFS4;ATP6V1F;NDUFS3;COX6C;LHPP;COX6A2;NDUFB4;NDUFB8;COX7C;ATP6AP1;ATP6V0A1;ATP4A;ATP6V0C;COX7A1;NDUFA6;CYC1;UQCRB;UQCR11;NDUFS8,SDHA;SDHB;NDUFA1;NDUFS6;NDUFB3;ATP6V1C1;NDUFA4;TCIRG1;NDUFA9;NDUFA12;NDUFAB1;NDUFC1;UQCRC1;NDUFA8;ATP6V0B;NDUFA13;UQCRFS1;NDUFB7;NDUFC2;NDUFS5;NDUFB9;NDUFB10;NDUFV2;NDUFB6;COX8A;NDUFA3;NDUFS2;COX6B1;NDUFB2;NDUFB1;NDUFV1;COX4I1;NDUFA4L2;COX6B2;NDUFA5;COX5A;NDUFB5;NDUFS1;COX7B;ATP6V1A;ATP6V1D;SDHD;SDHC;NDUFA7;NDUFS7;NDUFA2;COX5B;NDUFS4;ATP6V1F;NDUFS3
N-Glycan biosynthesis,-0.19662921348315077,-1.2310440183735052,0.2,0.2386138613861386,50,19,B4GALT3;DOLK;MAN2A2;DPM3;ALG5;FUT8;ALG9;RPN1;MAN1B1;MAN1A1;MGAT1;ALG13;MGAT2;B4GALT1;DDOST;GANAB;MGAT4A;ALG2;RPN2,B4GALT3;DOLK;MAN2A2;DPM3;ALG5;FUT8;ALG9;RPN1;MAN1B1;MAN1A1;MGAT1;ALG13;MGAT2;B4GALT1;DDOST;GANAB;MGAT4A;ALG2;RPN2
Malaria,0.2233996580563433,1.2295658688618374,0.17204301075268819,0.24562656753247106,49,42,TGFB1;KLRB1;ACKR1;GYPA;CD40LG;TLR2;IL10;TGFB2;ITGB2;IL12A;CSF3;LRP1;THBS3;PECAM1;CD40;CD81;VCAM1;TLR4;IL6;MET;TGFB3;TLR9;IL18;ICAM1;GYPB;MYD88;HBA1;SELP;SELE;KLRK1;SDC1;ITGAL;IFNG;CD36;GYPC;TNF;CR1;CXCL8;SDC2;IL1B;CCL2;THBS1,TGFB1;KLRB1;ACKR1;GYPA;CD40LG;TLR2;IL10;TGFB2;ITGB2;IL12A;CSF3;LRP1;THBS3;PECAM1;CD40;CD81;VCAM1;TLR4;IL6;MET;TGFB3;TLR9;IL18;ICAM1;GYPB;MYD88;HBA1;SELP;SELE;KLRK1;SDC1;ITGAL;IFNG;CD36;GYPC;TNF;CR1;CXCL8
Inositol phosphate metabolism,0.20434441759146427,1.2296292718496138,0.23076923076923078,0.24678518341705816,74,49,ITPKB;PLCE1;INPP5A;PIP5KL1;INPPL1;SACM1L;PI4KA;ITPKA;INPP5F;PIK3CA;PLCB3;PI4KB;PIP5K1B;PIP5K1A;IMPA2;PIK3CD;ITPK1;PIK3C2G;PIP4K2B;PIK3C3;PTEN;PIP4K2C;PLCG2;PIKFYVE;PLCB1;PLCG1;PIK3CG;IMPA1;CDIPT;INPP5D;PIK3C2A;PIK3CB;PI4K2B;PIP5K1C;MTMR3;PI4K2A;PIP4K2A;ALDH6A1;INPP4A;IPPK;IPMK;TPI1;PLCD1;PIK3C2B;INPP4B;INPP1;ITPKC;MTM1;PLCB4,ITPKB;PLCE1;INPP5A;PIP5KL1;INPPL1;SACM1L;PI4KA;ITPKA;INPP5F;PIK3CA;PLCB3;PI4KB;PIP5K1B;PIP5K1A;IMPA2;PIK3CD;ITPK1;PIK3C2G;PIP4K2B;PIK3C3;PTEN;PIP4K2C;PLCG2;PIKFYVE;PLCB1;PLCG1;PIK3CG;IMPA1;CDIPT;INPP5D;PIK3C2A;PIK3CB;PI4K2B;PIP5K1C;MTMR3;PI4K2A;PIP4K2A;ALDH6A1;INPP4A;IPPK;IPMK;TPI1;PLCD1;PIK3C2B
